"V1","V2"
"C20orf27","Nucleus"
"LBP","Nucleus"
"SLC25A43","Nucleus"
"ABCD1","Nucleus"
"SGCG","Nucleus"
"DHODH","Nucleus"
"MMP15","Nucleus"
"SLC38A7","Nucleus"
"PLA2G15","Nucleus"
"CDIPT","Nucleus"
"CTSH","Nucleus"
"DECR1","Nucleus"
"TNFRSF10A","Nucleus"
"DHDH","Nucleus"
"TGFB1","Nucleus"
"ICAM5","Nucleus"
"RABAC1","Nucleus"
"ARRDC2","Nucleus"
"SIPA1L3","Nucleus"
"LAMB1","Nucleus"
"CPA4","Nucleus"
"LFNG","Nucleus"
"FKBP14","Nucleus"
"MOSPD3","Nucleus"
"C1GALT1","Nucleus"
"ACTA2","Nucleus"
"RPL19","Nucleus"
"PIGL","Nucleus"
"COL1A1","Nucleus"
"EFNB3","Nucleus"
"LAP3","Nucleus"
"TMEM109","Nucleus"
"PDHX","Nucleus"
"DAO","Nucleus"
"FZD10","Nucleus"
"GAPDH","Nucleus"
"ACRBP","Nucleus"
"KLRB1","Nucleus"
"RSPH4A","Nucleus"
"LOX","Nucleus"
"PCDHB5","Nucleus"
"PCDHB6","Nucleus"
"C5orf15","Nucleus"
"HEATR5B","Nucleus"
"SF3B14","Nucleus"
"REG1A","Nucleus"
"SPR","Nucleus"
"SLC19A2","Nucleus"
"ABCG2","Nucleus"
"IFI27L2","Nucleus"
"LGALSL","Nucleus"
"FZD3","Nucleus"
"KCNJ8","Nucleus"
"NT5C3","Nucleus"
"ACADS","Nucleus"
"LRP1","Nucleus"
"IL13RA2","Nucleus"
"SEC61A1","Nucleus"
"TNFAIP6","Nucleus"
"PI3","Nucleus"
"MCEE","Nucleus"
"BTN3A3","Nucleus"
"C3","Nucleus"
"RTN2","Nucleus"
"TMX4","Nucleus"
"NCLN","Nucleus"
"MMP24","Nucleus"
"SLC35E2","Nucleus"
"TRAP1","Nucleus"
"OMG","Nucleus"
"TSPAN8","Nucleus"
"TICAM1","Nucleus"
"VIL1","Nucleus"
"STYXL1","Nucleus"
"YWHAH","Nucleus"
"DNAJB9","Nucleus"
"SMO","Nucleus"
"CLN6","Nucleus"
"ANGEL1","Nucleus"
"NALCN","Nucleus"
"LPPR2","Nucleus"
"ALOX12","Nucleus"
"KIAA0930","Nucleus"
"SCO2","Nucleus"
"TRPM4","Nucleus"
"OLFM1","Nucleus"
"LAMA5","Nucleus"
"SLC6A8","Nucleus"
"SLC7A10","Nucleus"
"ACLY","Nucleus"
"RHPN2","Nucleus"
"WDR7","Nucleus"
"DNHD1","Nucleus"
"RAMP1","Nucleus"
"RAP1GAP2","Nucleus"
"POPDC3","Nucleus"
"SCO1","Nucleus"
"BTG1","Nucleus"
"ATP13A3","Nucleus"
"EMC7","Nucleus"
"KIDINS220","Nucleus"
"CMPK2","Nucleus"
"FST","Nucleus"
"DOCK2","Nucleus"
"CARS2","Nucleus"
"MDFIC","Nucleus"
"TSPAN31","Nucleus"
"URB2","Nucleus"
"SLC19A3","Nucleus"
"MFSD9","Nucleus"
"MRPS9","Nucleus"
"TTC5","Nucleus"
"TACO1","Nucleus"
"HS6ST1","Nucleus"
"TOR1B","Nucleus"
"SLC31A2","Nucleus"
"STX17","Nucleus"
"CTSL2","Nucleus"
"IL18BP","Nucleus"
"SORL1","Nucleus"
"MMP7","Nucleus"
"C11orf1","Nucleus"
"FXYD6","Nucleus"
"ADAM10","Nucleus"
"ADCY3","Nucleus"
"KIF11","Nucleus"
"ATP2B1","Nucleus"
"ABCC9","Nucleus"
"TMEM5","Nucleus"
"FAM189A1","Nucleus"
"TGDS","Nucleus"
"C12orf49","Nucleus"
"CLEC2D","Nucleus"
"LOC81691","Nucleus"
"VWF","Nucleus"
"SLC7A5","Nucleus"
"COX10","Nucleus"
"ERP29","Nucleus"
"ARG2","Nucleus"
"GNB5","Nucleus"
"THSD4","Nucleus"
"NEO1","Nucleus"
"FLT4","Nucleus"
"SERPINA10","Nucleus"
"MYOM2","Nucleus"
"SLC1A1","Nucleus"
"TRAF4","Nucleus"
"ITGA2B","Nucleus"
"FBN2","Nucleus"
"RPL8","Nucleus"
"KAL1","Nucleus"
"CDKN2C","Nucleus"
"CELSR1","Nucleus"
"HUWE1","Nucleus"
"KCNN4","Nucleus"
"ITGAE","Nucleus"
"BIRC3","Nucleus"
"SIAE","Nucleus"
"MTIF2","Nucleus"
"ACVR1","Nucleus"
"SUCO","Nucleus"
"PTPN4","Nucleus"
"FAM20B","Nucleus"
"EPCAM","Nucleus"
"ABCB11","Nucleus"
"MAP4K3","Nucleus"
"KDR","Nucleus"
"SLC9A1","Nucleus"
"LCAT","Nucleus"
"PVRL1","Nucleus"
"FCER2","Nucleus"
"HAT1","Nucleus"
"KIAA1109","Nucleus"
"AGA","Nucleus"
"CNTNAP1","Nucleus"
"ATP6V0A1","Nucleus"
"UFSP2","Nucleus"
"KIF3C","Nucleus"
"TMEM175","Nucleus"
"FRAS1","Nucleus"
"PDE8B","Nucleus"
"PDCD6","Nucleus"
"MRPL3","Nucleus"
"SLC1A3","Nucleus"
"TNC","Nucleus"
"SEC24B","Nucleus"
"SEMA3A","Nucleus"
"HIBADH","Nucleus"
"STAP1","Nucleus"
"ST7","Nucleus"
"MGST2","Nucleus"
"PON3","Nucleus"
"ABCB4","Nucleus"
"ABCB1","Nucleus"
"ADAM22","Nucleus"
"ELMOD1","Nucleus"
"PIK3C2A","Nucleus"
"SFRP5","Nucleus"
"SCARF2","Nucleus"
"TTLL1","Nucleus"
"ETNK1","Nucleus"
"TMEM117","Nucleus"
"SLC6A15","Nucleus"
"SLC15A4","Nucleus"
"CDH24","Nucleus"
"CBLN3","Nucleus"
"STON2","Nucleus"
"TSPAN3","Nucleus"
"SCAMP2","Nucleus"
"ABHD2","Nucleus"
"FURIN","Nucleus"
"CMTM2","Nucleus"
"GFOD2","Nucleus"
"IMPA2","Nucleus"
"RNF165","Nucleus"
"AKT1","Nucleus"
"IGLON5","Nucleus"
"CERS2","Nucleus"
"LBR","Nucleus"
"SFXN5","Nucleus"
"TEX261","Nucleus"
"SLC4A3","Nucleus"
"SLC22A14","Nucleus"
"NXPE3","Nucleus"
"ABHD10","Nucleus"
"ATP10D","Nucleus"
"ENOPH1","Nucleus"
"PCYOX1L","Nucleus"
"ZC3HAV1L","Nucleus"
"TMEM140","Nucleus"
"LRP12","Nucleus"
"ADM","Nucleus"
"AASDHPPT","Nucleus"
"FADS3","Nucleus"
"ROM1","Nucleus"
"FERMT3","Nucleus"
"PRSS23","Nucleus"
"SLC2A13","Nucleus"
"NARS2","Nucleus"
"PTPRO","Nucleus"
"MFSD6","Nucleus"
"FARSB","Nucleus"
"IGSF10","Nucleus"
"CERS3","Nucleus"
"ATP8B4","Nucleus"
"CXADR","Nucleus"
"ANKRD40","Nucleus"
"OTUD6B","Nucleus"
"LRGUK","Nucleus"
"AKR1B1","Nucleus"
"SETD9","Nucleus"
"NUP205","Nucleus"
"DEPTOR","Nucleus"
"MTERFD1","Nucleus"
"ZDHHC5","Nucleus"
"BAG4","Nucleus"
"C1orf27","Nucleus"
"ARMC12","Nucleus"
"COQ5","Nucleus"
"ABHD3","Nucleus"
"MRPL10","Nucleus"
"IFNGR2","Nucleus"
"NPTN","Nucleus"
"BTG2","Nucleus"
"C1R","Nucleus"
"TPPP3","Nucleus"
"TNFRSF13C","Nucleus"
"PEAR1","Nucleus"
"FGFR4","Nucleus"
"LRRC14","Nucleus"
"ACOX1","Nucleus"
"TMEM143","Nucleus"
"STX5","Nucleus"
"LRP5","Nucleus"
"TPCN2","Nucleus"
"PDZK1IP1","Nucleus"
"AGL","Nucleus"
"OLFML2B","Nucleus"
"WDR92","Nucleus"
"INHBB","Nucleus"
"EOGT","Nucleus"
"TMEM79","Nucleus"
"RETSAT","Nucleus"
"EIF5A2","Nucleus"
"CDS1","Nucleus"
"PTX3","Nucleus"
"PRRT3","Nucleus"
"PCOLCE2","Nucleus"
"TM4SF18","Nucleus"
"LEPRE1","Nucleus"
"METAP1","Nucleus"
"APEH","Nucleus"
"MFSD8","Nucleus"
"IL15","Nucleus"
"HHIP","Nucleus"
"TMEM184C","Nucleus"
"LMBRD2","Nucleus"
"GFM2","Nucleus"
"C7orf62","Nucleus"
"FNDC1","Nucleus"
"CASD1","Nucleus"
"SLC13A4","Nucleus"
"LMTK2","Nucleus"
"HEATR2","Nucleus"
"TMEM184A","Nucleus"
"TMUB1","Nucleus"
"KIAA1161","Nucleus"
"TMEM65","Nucleus"
"FAT3","Nucleus"
"FBXO33","Nucleus"
"CRYL1","Nucleus"
"GAS1","Nucleus"
"CPSF2","Nucleus"
"SCN3B","Nucleus"
"ALG8","Nucleus"
"HDGFRP3","Nucleus"
"SLC9A5","Nucleus"
"CATSPER2","Nucleus"
"PPIB","Nucleus"
"FAM96A","Nucleus"
"CLPX","Nucleus"
"TMEM194A","Nucleus"
"ELFN2","Nucleus"
"METTL21B","Nucleus"
"MS4A8B","Nucleus"
"ACSF2","Nucleus"
"TRPM2","Nucleus"
"GPRC5B","Nucleus"
"RAB8A","Nucleus"
"DIP2B","Nucleus"
"GLOD4","Nucleus"
"CYB5D2","Nucleus"
"ICT1","Nucleus"
"ECI1","Nucleus"
"ABCA3","Nucleus"
"FADD","Nucleus"
"PTAFR","Nucleus"
"MGMT","Nucleus"
"TMEM154","Nucleus"
"USP8","Nucleus"
"BCL2L1","Nucleus"
"LRG1","Nucleus"
"ABHD15","Nucleus"
"IL17D","Nucleus"
"SPRY3","Nucleus"
"TMEM37","Nucleus"
"REG1B","Nucleus"
"ACHE","Nucleus"
"HIST1H2AE","Nucleus"
"PDS5A","Nucleus"
"HTRA3","Nucleus"
"TMEM223","Nucleus"
"FAM171B","Nucleus"
"SCG2","Nucleus"
"PCNX","Nucleus"
"CCDC126","Nucleus"
"KREMEN2","Nucleus"
"MCOLN3","Nucleus"
"TMEM192","Nucleus"
"FSTL5","Nucleus"
"COG7","Nucleus"
"PCBP1","Nucleus"
"RNMTL1","Nucleus"
"CHRM1","Nucleus"
"TMEM42","Nucleus"
"FAM151A","Nucleus"
"METTL18","Nucleus"
"PDHB","Nucleus"
"C11orf24","Nucleus"
"CANT1","Nucleus"
"MXRA8","Nucleus"
"HPSE","Nucleus"
"PTDSS2","Nucleus"
"DCAF7","Nucleus"
"ADORA1","Nucleus"
"TSPAN17","Nucleus"
"OLR1","Nucleus"
"KLK6","Nucleus"
"PEAK1","Nucleus"
"FAM134C","Nucleus"
"LRCH4","Nucleus"
"SPNS1","Nucleus"
"TAOK2","Nucleus"
"LINGO2","Nucleus"
"PSMD2","Nucleus"
"FNDC9","Nucleus"
"PDE7B","Nucleus"
"CASP3","Nucleus"
"ATP8B3","Nucleus"
"C16orf91","Nucleus"
"RPL4","Nucleus"
"UGT8","Nucleus"
"FGF5","Nucleus"
"KLK10","Nucleus"
"CARKD","Nucleus"
"HAVCR2","Nucleus"
"RNF26","Nucleus"
"TMEM70","Nucleus"
"GNAI2","Nucleus"
"SHISA2","Nucleus"
"CTXN1","Nucleus"
"RNASEH1","Nucleus"
"GRHPR","Nucleus"
"CC2D1A","Nucleus"
"TSFM","Nucleus"
"MSRA","Nucleus"
"AGPAT4","Nucleus"
"ANO2","Nucleus"
"EDNRA","Nucleus"
"MRPL1","Nucleus"
"CREG2","Nucleus"
"ARL6IP6","Nucleus"
"ASPRV1","Nucleus"
"METRNL","Nucleus"
"B3GNT5","Nucleus"
"CIITA","Nucleus"
"CD55","Nucleus"
"SLC38A9","Nucleus"
"ATOX1","Nucleus"
"TCP1","Nucleus"
"MRPS24","Nucleus"
"BPNT1","Nucleus"
"MAMDC4","Nucleus"
"IGDCC4","Nucleus"
"AGTRAP","Nucleus"
"PRSS8","Nucleus"
"OPA3","Nucleus"
"ITFG1","Nucleus"
"TRPM7","Nucleus"
"C3orf17","Nucleus"
"COX6B2","Nucleus"
"IL17RA","Nucleus"
"SPOCK2","Nucleus"
"IGSF3","Nucleus"
"PDDC1","Nucleus"
"SEC24C","Nucleus"
"CRELD1","Nucleus"
"SLC25A22","Nucleus"
"ORAI3","Nucleus"
"FAM20C","Nucleus"
"MFAP3","Nucleus"
"C18orf32","Nucleus"
"PDIA5","Nucleus"
"TEX35","Nucleus"
"P2RY11","Nucleus"
"A2M","Nucleus"
"CGREF1","Nucleus"
"RNF213","Nucleus"
"YLPM1","Nucleus"
"GPR156","Nucleus"
"MTMR4","Nucleus"
"CERS5","Nucleus"
"MED16","Nucleus"
"PCSK7","Nucleus"
"CDHR3","Nucleus"
"TMEM39A","Nucleus"
"DHRS4","Nucleus"
"MDH2","Nucleus"
"PRR7","Nucleus"
"CLEC4G","Nucleus"
"KRBA2","Nucleus"
"B4GALNT4","Nucleus"
"XKR4","Nucleus"
"MOB2","Nucleus"
"SEP15","Nucleus"
"GPR132","Nucleus"
"TSPO","Nucleus"
"IMMP2L","Nucleus"
"SLC6A17","Nucleus"
"EPGN","Nucleus"
"TM2D3","Nucleus"
"CTHRC1","Nucleus"
"SGK223","Nucleus"
"IL1R2","Nucleus"
"BCAN","Nucleus"
"CYB5D1","Nucleus"
"PRKCD","Nucleus"
"C7orf13","Nucleus"
"TLCD2","Nucleus"
"LSMD1","Nucleus"
"DSE","Nucleus"
"DGAT1","Nucleus"
"OAF","Nucleus"
"MFSD10","Nucleus"
"FUT10","Nucleus"
"MRPL40","Nucleus"
"TMEM179B","Nucleus"
"EVI2B","Nucleus"
"EMC10","Nucleus"
"TAS2R42","Nucleus"
"VWCE","Nucleus"
"SLC10A7","Nucleus"
"PDZD8","Nucleus"
"TMEM150A","Nucleus"
"TMEM104","Nucleus"
"FAM91A1","Nucleus"
"DLST","Nucleus"
"CLDN2","Nucleus"
"ABHD12B","Nucleus"
"TBC1D22A","Nucleus"
"GALNTL1","Nucleus"
"KLHL25","Nucleus"
"MEN1","Nucleus"
"MYADM","Nucleus"
"MFSD11","Nucleus"
"EPHA3","Nucleus"
"TRAF6","Nucleus"
"STARD7","Nucleus"
"SPRYD4","Nucleus"
"NUDT2","Nucleus"
"THEM6","Nucleus"
"C1QTNF6","Nucleus"
"CHID1","Nucleus"
"ATAD1","Nucleus"
"PIGO","Nucleus"
"TSPAN18","Nucleus"
"LITAF","Nucleus"
"DLK1","Nucleus"
"ERMP1","Nucleus"
"GANAB","Nucleus"
"ARMCX3","Nucleus"
"DMP1","Nucleus"
"TEX264","Nucleus"
"NPR2","Nucleus"
"SYDE1","Nucleus"
"ISM2","Nucleus"
"COL9A3","Nucleus"
"ZDHHC7","Nucleus"
"DAP3","Nucleus"
"ADIPOR1","Nucleus"
"ENSG00000188474","Nucleus"
"CTSB","Nucleus"
"DYRK2","Nucleus"
"BTNL8","Nucleus"
"OAS2","Nucleus"
"ATP9A","Nucleus"
"SLC35F4","Nucleus"
"TMPPE","Nucleus"
"EARS2","Nucleus"
"ATR","Nucleus"
"BROX","Nucleus"
"LRRC17","Nucleus"
"KIAA0247","Nucleus"
"SDC3","Nucleus"
"TMEM201","Nucleus"
"SLC37A1","Nucleus"
"GLB1L2","Nucleus"
"NF2","Nucleus"
"ACACA","Nucleus"
"TMEM120B","Nucleus"
"C2orf18","Nucleus"
"TOR1A","Nucleus"
"RPL3","Nucleus"
"RPL9","Nucleus"
"PRKAA1","Nucleus"
"COPS8","Nucleus"
"NRD1","Nucleus"
"HTT","Nucleus"
"ANO1","Nucleus"
"BOC","Nucleus"
"ZNF512","Nucleus"
"TRRAP","Nucleus"
"CYP20A1","Nucleus"
"LAMB3","Nucleus"
"ACSL5","Nucleus"
"RAC1","Nucleus"
"PXDNL","Nucleus"
"GALNT6","Nucleus"
"ORAI2","Nucleus"
"PIGR","Nucleus"
"FDPS","Nucleus"
"ADIPOR2","Nucleus"
"LRBA","Nucleus"
"ERGIC3","Nucleus"
"SLC29A2","Nucleus"
"FRMD4A","Nucleus"
"PLN","Nucleus"
"RIMKLB","Nucleus"
"BCO2","Nucleus"
"COPS5","Nucleus"
"METTL9","Nucleus"
"MICAL1","Nucleus"
"LPAR1","Nucleus"
"C9orf169","Nucleus"
"KIRREL","Nucleus"
"CTPS2","Nucleus"
"PCBP2","Nucleus"
"EMP2","Nucleus"
"SLC39A10","Nucleus"
"FAM3A","Nucleus"
"PYY","Nucleus"
"ERGIC2","Nucleus"
"SLC35F1","Nucleus"
"PEA15","Nucleus"
"SLC6A9","Nucleus"
"TTI2","Nucleus"
"GYPA","Nucleus"
"NTRK3","Nucleus"
"GFPT1","Nucleus"
"NMRK1","Nucleus"
"TMEM184B","Nucleus"
"SLC9B2","Nucleus"
"CMTM3","Nucleus"
"SFT2D1","Nucleus"
"DENND4B","Nucleus"
"GPX7","Nucleus"
"SGMS1","Nucleus"
"FAM189B","Nucleus"
"GLT25D2","Nucleus"
"MT-CO3","Nucleus"
"ABCG1","Nucleus"
"NSMCE1","Nucleus"
"DARS2","Nucleus"
"SORBS1","Nucleus"
"MT-ATP8","Nucleus"
"CD47","Nucleus"
"LRIG2","Nucleus"
"RYR2","Nucleus"
"HEATR1","Nucleus"
"B3GALNT2","Nucleus"
"SLC35F3","Nucleus"
"FAM89A","Nucleus"
"TTC13","Nucleus"
"PSEN2","Nucleus"
"THBS2","Nucleus"
"H3F3A","Nucleus"
"TGFB2","Nucleus"
"NENF","Nucleus"
"DTL","Nucleus"
"LPGAT1","Nucleus"
"MRPL18","Nucleus"
"ACAT2","Nucleus"
"DYNLT1","Nucleus"
"SLC45A3","Nucleus"
"CYB5R1","Nucleus"
"LGR6","Nucleus"
"GINM1","Nucleus"
"FMO3","Nucleus"
"SCYL3","Nucleus"
"NDUFS2","Nucleus"
"NIT1","Nucleus"
"RRNAD1","Nucleus"
"APOA1BP","Nucleus"
"SMPDL3A","Nucleus"
"ATP8B2","Nucleus"
"C1orf43","Nucleus"
"FAM26F","Nucleus"
"ADAM12","Nucleus"
"NPR1","Nucleus"
"TCHHL1","Nucleus"
"TDRKH","Nucleus"
"SELENBP1","Nucleus"
"C1orf56","Nucleus"
"MCL1","Nucleus"
"ECM1","Nucleus"
"TARS2","Nucleus"
"HIST1H3H","Nucleus"
"CD2","Nucleus"
"TSPAN2","Nucleus"
"ATP5F1","Nucleus"
"CALHM3","Nucleus"
"SH3BGRL2","Nucleus"
"SUFU","Nucleus"
"TMEM187","Nucleus"
"FNDC7","Nucleus"
"L1CAM","Nucleus"
"ALG14","Nucleus"
"HAUS7","Nucleus"
"SLC17A9","Nucleus"
"CPN1","Nucleus"
"NTSR1","Nucleus"
"MCOLN2","Nucleus"
"IFI44","Nucleus"
"MOSPD1","Nucleus"
"ZDHHC16","Nucleus"
"CTH","Nucleus"
"TACSTD2","Nucleus"
"OMA1","Nucleus"
"RAE1","Nucleus"
"ENTPD8","Nucleus"
"SELRC1","Nucleus"
"NPDC1","Nucleus"
"IL13RA1","Nucleus"
"SLC29A1","Nucleus"
"ATPAF1","Nucleus"
"TMEM69","Nucleus"
"TESK2","Nucleus"
"HECTD3","Nucleus"
"MMP9","Nucleus"
"GPR107","Nucleus"
"YIPF3","Nucleus"
"PLTP","Nucleus"
"CTSA","Nucleus"
"ZDHHC12","Nucleus"
"DBNDD2","Nucleus"
"CNPY3","Nucleus"
"CERCAM","Nucleus"
"FUT11","Nucleus"
"RRAGC","Nucleus"
"PGC","Nucleus"
"MRPS15","Nucleus"
"AK1","Nucleus"
"ENG","Nucleus"
"TSPAN15","Nucleus"
"ZMYM6NB","Nucleus"
"GLO1","Nucleus"
"ZDHHC15","Nucleus"
"VSTM2L","Nucleus"
"TBC1D22B","Nucleus"
"OLFML2A","Nucleus"
"MEGF9","Nucleus"
"IPMK","Nucleus"
"STX12","Nucleus"
"DKK1","Nucleus"
"TLR4","Nucleus"
"NFS1","Nucleus"
"OGDHL","Nucleus"
"INIP","Nucleus"
"SUSD1","Nucleus"
"FAM54B","Nucleus"
"UQCC","Nucleus"
"NIPAL3","Nucleus"
"C1QC","Nucleus"
"HSPG2","Nucleus"
"ABCA1","Nucleus"
"VSIG4","Nucleus"
"SLC38A10","Nucleus"
"TMEM246","Nucleus"
"ALDOB","Nucleus"
"COL5A2","Nucleus"
"FAAH2","Nucleus"
"CDA","Nucleus"
"HIATL1","Nucleus"
"ASPN","Nucleus"
"COL4A1","Nucleus"
"KDELC1","Nucleus"
"TMEM51","Nucleus"
"DHRS3","Nucleus"
"SLC28A3","Nucleus"
"GPR183","Nucleus"
"NPPB","Nucleus"
"SLC15A1","Nucleus"
"ABCC4","Nucleus"
"GPC5","Nucleus"
"SLITRK5","Nucleus"
"SYVN1","Nucleus"
"GPR157","Nucleus"
"CA6","Nucleus"
"AUP1","Nucleus"
"IGFBPL1","Nucleus"
"ACOT7","Nucleus"
"LYPD5","Nucleus"
"GPR34","Nucleus"
"ATP6AP2","Nucleus"
"SLC35B4","Nucleus"
"PODXL","Nucleus"
"XK","Nucleus"
"LRP4","Nucleus"
"CYP4V2","Nucleus"
"KIF24","Nucleus"
"C1orf159","Nucleus"
"EDN1","Nucleus"
"PRNP","Nucleus"
"MBTPS2","Nucleus"
"LHFP","Nucleus"
"RFESD","Nucleus"
"PTPRA","Nucleus"
"C2CD2","Nucleus"
"COL2A1","Nucleus"
"ADAMTSL1","Nucleus"
"SERPINB1","Nucleus"
"SMN2","Nucleus"
"SELO","Nucleus"
"DUT","Nucleus"
"SLC12A1","Nucleus"
"CWC27","Nucleus"
"IGFBP3","Nucleus"
"RDH14","Nucleus"
"IDI1","Nucleus"
"ZZEF1","Nucleus"
"PPAPDC2","Nucleus"
"ANGPT4","Nucleus"
"RFX3","Nucleus"
"ZG16B","Nucleus"
"NRSN2","Nucleus"
"CLCN7","Nucleus"
"BET1L","Nucleus"
"METTL17","Nucleus"
"FAM131A","Nucleus"
"DCP2","Nucleus"
"DENND5B","Nucleus"
"LOXL2","Nucleus"
"GARS","Nucleus"
"ADAMTS20","Nucleus"
"FAXC","Nucleus"
"LYST","Nucleus"
"LRCH1","Nucleus"
"ABCC8","Nucleus"
"TMEM87A","Nucleus"
"CARD8","Nucleus"
"IL24","Nucleus"
"MAP3K4","Nucleus"
"SLC16A3","Nucleus"
"STX2","Nucleus"
"C14orf80","Nucleus"
"SDK2","Nucleus"
"CD79B","Nucleus"
"ATP2C1","Nucleus"
"SLC12A8","Nucleus"
"MON2","Nucleus"
"ERGIC1","Nucleus"
"PC","Nucleus"
"MIEN1","Nucleus"
"PROS1","Nucleus"
"NDRG4","Nucleus"
"MST4","Nucleus"
"NMB","Nucleus"
"TMEM98","Nucleus"
"ACYP2","Nucleus"
"RCN2","Nucleus"
"PSAP","Nucleus"
"C10orf54","Nucleus"
"CALN1","Nucleus"
"IZUMO4","Nucleus"
"LBH","Nucleus"
"LAT","Nucleus"
"DHRS7B","Nucleus"
"MTHFD2L","Nucleus"
"CDRT1","Nucleus"
"ODAM","Nucleus"
"NDUFAF6","Nucleus"
"TMC5","Nucleus"
"ACBD5","Nucleus"
"OSBPL10","Nucleus"
"SLC30A5","Nucleus"
"HRH1","Nucleus"
"NUDT19","Nucleus"
"ENSG00000218739","Nucleus"
"C5orf28","Nucleus"
"LYPD1","Nucleus"
"TCTN1","Nucleus"
"PQLC1","Nucleus"
"CTDSP2","Nucleus"
"PPAPDC1A","Nucleus"
"MFSD12","Nucleus"
"TMEM249","Nucleus"
"CDIP1","Nucleus"
"SELM","Nucleus"
"ENSG00000215462","Nucleus"
"DSCAM","Nucleus"
"MASP2","Nucleus"
"GATSL3","Nucleus"
"GDPD3","Nucleus"
"PCNXL4","Nucleus"
"SLC22A23","Nucleus"
"CAPN14","Nucleus"
"TAPT1","Nucleus"
"GPR61","Nucleus"
"INTS1","Nucleus"
"MAST4","Nucleus"
"LTBP1","Nucleus"
"CPE","Nucleus"
"C5orf55","Nucleus"
"RBM34","Nucleus"
"APOL6","Nucleus"
"TMEM194B","Nucleus"
"PXMP4","Nucleus"
"TGOLN2","Nucleus"
"PSMD14","Nucleus"
"C19orf24","Nucleus"
"KIAA0922","Nucleus"
"NFU1","Nucleus"
"RAB1A","Nucleus"
"UBE4A","Nucleus"
"CYHR1","Nucleus"
"CLDND1","Nucleus"
"IRAK4","Nucleus"
"SCFD1","Nucleus"
"ERV3-1","Nucleus"
"IGF2","Nucleus"
"STRAP","Nucleus"
"POTEI","Nucleus"
"DCT","Nucleus"
"TMX1","Nucleus"
"GFRA1","Nucleus"
"TMEM182","Nucleus"
"UBR3","Nucleus"
"SCN4A","Nucleus"
"NTF3","Nucleus"
"DIABLO","Nucleus"
"C3orf52","Nucleus"
"LOC401307","Nucleus"
"PRG4","Nucleus"
"PTPRJ","Nucleus"
"PHTF2","Nucleus"
"TMEM8A","Nucleus"
"PVR","Nucleus"
"LAPTM4B","Nucleus"
"CPS1","Nucleus"
"C2orf74","Nucleus"
"CCBE1","Nucleus"
"CLMP","Nucleus"
"UNC5C","Nucleus"
"LILRB5","Nucleus"
"SLC23A3","Nucleus"
"IMPA1","Nucleus"
"ACADM","Nucleus"
"SYNJ1","Nucleus"
"VEZT","Nucleus"
"FGFR2","Nucleus"
"TSPYL4","Nucleus"
"ENSG00000232671","Nucleus"
"GPR137","Nucleus"
"URM1","Nucleus"
"C1orf226","Nucleus"
"ABHD4","Nucleus"
"WBP1L","Nucleus"
"CCDC107","Nucleus"
"PIGG","Nucleus"
"TM2D2","Nucleus"
"NELL2","Nucleus"
"IGFALS","Nucleus"
"ROBO2","Nucleus"
"HFE","Nucleus"
"YIPF6","Nucleus"
"FAM205A","Nucleus"
"ALG2","Nucleus"
"SMIM4","Nucleus"
"FAM120B","Nucleus"
"IFNE","Nucleus"
"PVRL3","Nucleus"
"IVD","Nucleus"
"TIMMDC1","Nucleus"
"SELK","Nucleus"
"SELT","Nucleus"
"CACNA2D3","Nucleus"
"MSMP","Nucleus"
"CLASP2","Nucleus"
"SERINC5","Nucleus"
"SNF8","Nucleus"
"SLIT2","Nucleus"
"C4orf52","Nucleus"
"SCUBE2","Nucleus"
"RNF130","Nucleus"
"HDAC2","Nucleus"
"PTDSS1","Nucleus"
"RNF145","Nucleus"
"NAALAD2","Nucleus"
"TXNRD1","Nucleus"
"FBXL17","Nucleus"
"ENSG00000182329","Nucleus"
"CACFD1","Nucleus"
"TMTC1","Nucleus"
"GPN3","Nucleus"
"TMEM116","Nucleus"
"HECTD4","Nucleus"
"ALDH6A1","Nucleus"
"PGF","Nucleus"
"MAP3K9","Nucleus"
"ITGA7","Nucleus"
"METRN","Nucleus"
"CTRL","Nucleus"
"NUP88","Nucleus"
"COASY","Nucleus"
"CNTD1","Nucleus"
"MPPE1","Nucleus"
"HSD17B1","Nucleus"
"SEC11C","Nucleus"
"NDUFAB1","Nucleus"
"GPRC5A","Nucleus"
"DNASE1L1","Nucleus"
"ZPBP","Nucleus"
"TRIP13","Nucleus"
"P4HA2","Nucleus"
"NMRK2","Nucleus"
"TMEM38A","Nucleus"
"OXCT1","Nucleus"
"RPS5","Nucleus"
"ITGB4","Nucleus"
"EFNB1","Nucleus"
"ABCC6","Nucleus"
"PSMD5","Nucleus"
"TECR","Nucleus"
"SLC25A1","Nucleus"
"ACR","Nucleus"
"CTSG","Nucleus"
"GZMB","Nucleus"
"CYP24A1","Nucleus"
"BIRC7","Nucleus"
"AHCY","Nucleus"
"GUCY2F","Nucleus"
"GPR50","Nucleus"
"MMP2","Nucleus"
"TSC2","Nucleus"
"ZNF432","Nucleus"
"RETN","Nucleus"
"ZIM2","Nucleus"
"SLC5A5","Nucleus"
"MLL4","Nucleus"
"PON2","Nucleus"
"CAV2","Nucleus"
"STX1A","Nucleus"
"AEBP1","Nucleus"
"FKTN","Nucleus"
"MPO","Nucleus"
"P2RX1","Nucleus"
"PFN1","Nucleus"
"C1QBP","Nucleus"
